Company Name,State_Abbr,Exec.tiTle,INDUSTRY,EmployEEs
Company 1,CA,Owner,Business Services,11-25 employees
Company 2,VA,Owner,Business Services,11-25 employees
Company 3,NY,Owner,Business Services,26-50 employees
Company 4,MN,Director Of Finance,Business Services,11-25 employees
Company 5,CA,Owner,Media,11-25 employees
Company 6,PA,Chief Financial Officer,Consumer Services,11-25 employees
Company 7,CA,Owner,Entertainment,11-25 employees
Company 8,CA,Chief Executive Officer,Business Services,51-100 employees
Company 9,NY,Owner,Business Services,6-10 employees
Company 10,CA,Chief Executive Officer,Business Services,11-25 employees
Company 11,CA,Chief Executive Officer,Computer Services,11-25 employees
Company 12,OK,Chief Executive Officer,Computer Services,101-250 employees
Company 13,NM,Finance Executive,Business Services,26-50 employees
Company 14,MA,Chairman And Chief Executive Officer,Computer Software,11-25 employees
Company 15,NY,Owner,Computer Software,11-25 employees
Company 16,TX,Financial Analyst,Business Services,101-250 employees
Company 17,MN,Finance Executive,Business Services,26-50 employees
Company 18,MN,Owner,Business Services,26-50 employees
Company 19,CA,Finance Executive,Business Services,11-25 employees
Company 20,CA,Owner,Business Services,11-25 employees
Company 21,NY,Owner,Business Services,26-50 employees
Company 22,TX,Chief Executive Officer,Computer Software,26-50 employees
Company 23,TX,Financial Administration,Computer Software,26-50 employees
Company 24,LA,Owner,Computer Services,11-25 employees
Company 25,TX,Owner,Computer Services,11-25 employees
Company 26,MA,Owner,Business Services,51-100 employees
Company 27,CA,"Controller, Owner",Business Services,51-100 employees
Company 28,CA,Chief Executive Officer,Business Services,26-50 employees
Company 29,VA,Finance Executive,Business Services,26-50 employees
Company 30,NY,Owner,Business Services,11-25 employees
Company 31,ND,"Manager, Finance Executive",Business Services,11-25 employees
Company 32,CA,Chief Executive Officer,Computer Software,11-25 employees
Company 33,TX,Chief Executive Officer,Business Services,51-100 employees
Company 34,CA,Owner,Business Services,11-25 employees
Company 35,VA,Owner,Business Services,11-25 employees
Company 36,VA,Chief Executive Officer,Business Services,51-100 employees
Company 37,TN,Chief Executive Officer,Business Services,11-25 employees
Company 38,CA,Owner,Business Services,11-25 employees
Company 39,CA,"Owner, Finance Executive, Sales Executive",Business Services,11-25 employees
Company 40,FL,Owner,Media,26-50 employees
Company 41,AZ,Owner,Computer Services,51-100 employees
Company 42,AZ,Owner,Computer Services,51-100 employees
Company 43,MA,Ceo,Business Services,11-25 employees
Company 44,MI,Chief Executive Officer,Business Services,51-100 employees
Company 45,CO,Owner,Business Services,51-100 employees
Company 46,CA,Chief Executive Officer,Telecommunications Services,26-50 employees
Company 47,IL,Chief Executive Officer,Computer Software,11-25 employees
Company 48,GA,Chief Executive Officer,Computer Services,51-100 employees
Company 49,MN,Owner,Computer Software,51-100 employees
Company 50,NY,Owner,Computer Services,11-25 employees
Company 51,CA,Chief Financial Officer,Business Services,11-25 employees
Company 52,CT,Owner,Computer Services,11-25 employees
Company 53,FL,Owner,Media,6-10 employees
Company 54,FL,Chief Executive Officer,Media,11-25 employees
Company 55,CA,Owner,Consumer Services,11-25 employees
Company 56,LA,Owner,Consumer Services,11-25 employees
Company 57,NY,Chief Executive Officer,Business Services,51-100 employees
Company 58,NY,Chief Finance Officer,Business Services,51-100 employees
Company 59,CA,Owner,Leisure,11-25 employees
Company 60,SC,Chief Executive Officer,Business Services,51-100 employees
Company 61,IL,Owner,Telecommunications Services,11-25 employees
Company 62,AL,Owner,Business Services,11-25 employees
Company 63,NY,Chief Financial Officer,Telecommunications Services,101-250 employees
Company 64,MA,Finance Executive,Leisure,11-25 employees
Company 65,AZ,Owner,Leisure,101-250 employees
Company 66,CO,Chief Executive Officer Chief Financial Officer Vice President Director,Business Services,11-25 employees
Company 67,CO,Chief Executive Officer,Computer Software,101-250 employees
Company 68,FL,Owner And Operator And Senior Designer,Computer Services,11-25 employees
Company 69,CA,Chief Financial Officer,Telecommunications Services,11-25 employees
Company 70,NY,"President, Chief Executive Officer",Business Services,51-100 employees
Company 71,NY,Finance Executive,Business Services,51-100 employees
Company 72,VA,Owner,Computer Services,51-100 employees
